id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
700516594811549873,Loft in Zürich · ★4.55 · 1 bedroom · 1 bed · 1 bath,76550057,Prisca,Kreis 3,Alt-Wiedikon,47.35828,8.5231,Entire home/apt,159,3,11,2023-09-25,0.73,1,354,6,
700573254148512572,Rental unit in Zürich · 1 bedroom · 2 beds · 1 bath,39347887,David,Kreis 6,Oberstrass,47.3879,8.54602,Entire home/apt,99,21,0,,,1,29,0,
701364504095025610,Rental unit in Zürich · 1 bedroom · 1 bed · 1 shared bath,476677534,Daniel,Kreis 8,Mühlebach,47.35823600554593,8.55610416183797,Private room,100,5,0,,,1,90,0,
703510591302281566,Rental unit in Zürich · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,457741826,Celia,Kreis 3,Sihlfeld,47.37311,8.51888,Private room,,1,12,2023-08-26,2.11,1,0,12,
704034089852996781,Home in Zürich · 4 bedrooms · 8 beds · 3 baths,477190873,Leyla,Kreis 9,Altstetten,47.3821467,8.47921,Entire home/apt,,5,0,,,1,0,0,
704079167220025958,Rental unit in Zürich · 1 bedroom · 1 bed · 2 baths,5416042,Michela,Kreis 11,Affoltern,47.41710093498623,8.50389218164599,Private room,70,5,1,2023-07-29,0.20,1,223,1,
704113507187087111,Rental unit in Zürich · ★4.93 · 1 bedroom · 1 bed · 1 bath,21396464,Ann,Kreis 5,Gewerbeschule,47.38278,8.52773,Entire home/apt,,3,39,2023-12-11,2.51,1,0,28,
705719105096923965,Rental unit in Zürich · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,231788285,Melsigen,Kreis 2,Wollishofen,47.33867,8.52993,Private room,,5,4,2022-12-11,0.27,2,0,0,
706295635235279013,Condo in Zürich · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,3528377,Marc,Kreis 4,Werd,47.37277,8.52317,Entire home/apt,120,3,4,2022-12-28,0.31,16,168,1,
706453603679205364,Rental unit in Zürich · Studio · 1 bed · 1 bath,477694612,Federico,Kreis 7,Witikon,47.35526,8.59718,Entire home/apt,35,30,2,2023-02-15,0.17,1,15,2,
707118972047180235,Rental unit in Zürich · 2 bedrooms · 2 beds · 1 bath,90399530,Daniella,Kreis 10,Höngg,47.4018,8.49328,Entire home/apt,323,3,2,2023-10-21,0.15,14,219,1,
709361671005110186,Rental unit in Zürich · 1 bedroom · 1 bed · 1 shared bath,97868366,Roc-Andrea,Kreis 6,Unterstrass,47.39215,8.53641,Shared room,,2,2,2023-09-16,0.55,1,0,2,
709716976587634109,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,7927323,Nathalie,Kreis 3,Alt-Wiedikon,47.36837906922542,8.509919308125973,Entire home/apt,76,13,2,2023-07-17,0.14,1,0,1,
710106403420087549,Home in Zürich · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,478423904,Fabian Und Anja,Kreis 5,Escher Wyss,47.39405292582402,8.509648104229752,Private room,70,2,26,2023-11-01,1.76,1,34,20,
